,word,positive,negative
340,then,1,2
341,c,0,1
342,personal,0,1
343,want,6,2
344,fulfil,0,1
345,movement,0,1
346,amazonexculsive,0,1
347,awww,0,1
348,@chrisobore1:,0,1
349,luis,0,1
350,favorites,0,1
351,them@back,0,1
352,heres,1,1
353,made,2,1
354,picture,0,1
355,shape,0,1
356,loved,0,1
357,off,1,2
358,people's,0,0
359,atm,0,1
360,together,0,1
361,2,2,1
362,show,0,1
363,gone,0,1
364,talk,0,1
365,months,1,1
366,co/axifge3pms,0,1
367,terminal,0,1
368,@nipseyhussle,0,1
369,sometime,0,1
370,many,0,1
371,@smile4mety:,0,1
372,tonight,0,1
373,impactful,0,1
374,situation,0,1
375,time,8,3
376,alone,1,1
377,liv,0,1
378,episode,1,1
379,say,1,2
380,@baylor,0,1
381,opportunity,1,1
382,characters,1,1
383,computer,0,1
384,looks,0,2
385,yesterday,1,1
386,middle/beginning,0,1
387,relieved,0,1
388,days,3,1
389,come,2,1
390,themes,0,1
391,au,0,1
392,big,0,1
393,need,2,1
394,further,0,1
395,state,0,1
396,@thefarqueen:,0,1
397,video,1,2
398,@gopleader:,0,1
399,@aarondorksen,0,1
400,co/g8af2v1paf,0,1
401,followers,0,1
402,@hiplikejibooty:,0,1
403,@pinkkkkkk__:,0,1
404,on,15,9
405,yours,0,1
406,ermias,0,1
407,done,1,1
408,hoodie,1,1
409,carries,0,1
410,na,0,1
411,if,6,6
412,both,2,2
413,@deafshowrunner,0,1
414,qb,0,1
415,@amazon,0,1
416,@drewfromjersey:,0,1
417,fate,0,1
418,touch,0,1
419,fight,1,1
420,people,2,4
421,5,1,2
422,feel,1,1
423,incredibly,1,1
424,co/8sk5llan7r,0,1
425,guess,0,1
426,stages,0,1
427,behind,1,1
428,great,3,1
429,@antman,0,1
430,@pocdeaftalent,0,1
431,afraid,0,1
432,theoa,0,1
433,bds,0,1
434,planning,0,1
435,pleasant,0,1
436,@moshwithtyler:,0,1
437,rebor,0,1
438,coach,1,1
439,sides,0,1
440,brain,0,1
441,rewatched,0,1
442,@nasajpl,0,1
443,co/aeyd8yqrj0,0,1
444,ok,0,1
445,space,0,1
446,soon,1,1
447,news,0,4
448,friday,8,1
449,sht,0,1
450,sa,0,1
451,territory,0,1
452,ignore,0,1
453,finest,0,1
454,cobain,0,1
455,draggin,0,1
456,watching,0,1
457,para,0,1
458,remembered,0,1
459,@picklerudd:,0,1
460,beef,0,1
461,dnp,0,1
462,funko,0,1
463,hwaedong,0,1
464,recognize,0,1
465,isnt,0,3
466,voted,0,1
467,than,0,2
468,expectation,0,1
469,mind,0,1
470,mars,0,1
471,@mavcarter,0,1
472,@morninafterkill:,0,1
473,1,0,3
474,single,0,2
475,countriesplz,0,1
476,l,0,1
477,ended,0,1
478,mistake,0,1
479,n,0,2
480,don't,0,0
481,decision,0,2
482,igf,0,1
483,ive,0,1
484,long,1,2
485,felt,0,2
486,6,0,1
487,virility,0,1
488,taehyung,0,1
489,definitely,0,1
490,@texasinafrica,0,1
491,makanji,0,1
492,childhood,0,1
493,overwhelming,1,1
494,favorite,0,1
495,wtf,0,1
496,highnote,0,1
497,loud,0,1
498,playing,1,1
499,@originalfunko,0,1
500,unfairness,0,1
501,name,0,1
502,improve,0,1
503,coddled,0,1
504,rip,0,1
505,youre,2,2
506,@rjmxrell:,0,1
507,produce,0,1
508,tone,0,1
509,by,6,1
510,joyful,0,1
511,acting,0,1
512,leave,0,2
513,years,0,1
514,unhappy,0,39
515,-,2,2
516,at,7,7
517,happy,50,5
518,well,5,3
519,has,4,5
520,going,5,4
521,counsel's,0,0
522,hes,2,2
523,obstructed,0,3
524,inve,0,3
525,split,0,3
526,were,0,2
527,cbs,0,3
528,things,0,3
529,peace,0,1
530,stop,0,1
531,confirmed,0,3
532,special,1,3
533,everything,1,2
534,@cbseveningnews:,0,3
535,president,1,3
536,whether,0,3
537,showing,0,1
538,justice,0,3
539,right,0,2
540,current,0,2
541,kan,0,1
542,@esyudkowsky,0,2
543,find,0,2
544,they're,0,0
545,trump,3,2
546,fortnite,0,1
547,siliguri,0,1
548,res,0,1
549,left,0,2
550,you're,0,0
551,inner,0,1
552,ppl,0,2
553,only,1,2
554,particularly,0,2
555,solution,0,2
556,groups,0,2
557,boat,0,1
558,does,5,2
559,medias,0,1
560,protagonist,0,2
561,already,1,2
562,agree,0,2
563,nothing,0,2
564,drive,0,2
565,abusive,0,2
566,across,0,2
567,look,5,2
568,visa,0,2
569,always,4,2
570,desperately,0,2
571,give,1,2
572,us,3,2
573,she,1,1
574,sight,0,2
575,short,0,2
576,before,0,1
577,depression,0,2
578,ill,2,2
579,yourself,0,2
580,changes,0,1
581,ex-captain,0,1
582,funny,1,1
583,probing,0,1
584,co/kdoihzoz24,0,1
585,),0,1
586,clearly,0,1
587,anyone,0,1
588,website,0,1
589,point,1,1
590,chips,0,1
591,rx,0,1
592,@neroscinema:,0,1
593,chose,0,1
594,american,1,1
595,use,0,1
596,twice,0,1
597,fuck,2,1
598,he's,0,0
599,let,0,1
600,got,2,1
601,mostly,0,1
602,@trillgabi,0,1
603,acceptable,0,1
604,@akmaciver,0,1
605,review,0,1
606,wisewords,0,1
607,parent,0,1
608,pick,0,1
609,affect,0,1
610,strikes,0,1
611,unhap,0,1
612,media,0,1
613,@nitishrana_27,0,1
614,would,2,1
615,mother,0,1
616,off-brand,0,1
617,needs,0,1
618,perhaps,0,1
619,willoughby,0,1
620,pharmacy,0,1
621,curse,0,1
622,@kayhanmomand:,0,1
623,hungry,0,1
624,scab,0,1
625,=because,0,1
626,saw,0,1
627,@urvashirautela:,0,1
628,first,2,1
