,word,frequency
425,guess,1
426,stages,1
427,behind,1
428,great,1
429,@antman,1
430,@pocdeaftalent,1
431,afraid,1
432,theoa,1
433,bds,1
434,planning,1
435,pleasant,1
436,@moshwithtyler:,1
437,rebor,1
438,coach,1
439,sides,1
440,brain,1
441,rewatched,1
442,@nasajpl,1
443,co/aeyd8yqrj0,1
444,ok,1
445,space,1
446,soon,1
447,news,1
448,friday,1
449,sht,1
450,sa,1
451,territory,1
452,ignore,1
453,finest,1
454,cobain,1
455,draggin,1
456,watching,1
457,para,1
458,remembered,1
459,@picklerudd:,1
460,beef,1
461,dnp,1
462,funko,1
463,hwaedong,1
464,recognize,1
465,isnt,1
466,voted,1
467,than,1
468,expectation,1
469,mind,1
470,mars,1
471,@mavcarter,1
472,@morninafterkill:,1
473,1,1
474,single,1
475,countriesplz,1
476,l,1
477,ended,1
478,mistake,1
479,n,1
480,don't,1
481,decision,1
482,igf,1
483,ive,1
484,long,1
485,felt,1
486,6,1
487,virility,1
488,taehyung,1
489,definitely,1
490,@texasinafrica,1
491,makanji,1
492,childhood,1
493,overwhelming,1
494,favorite,1
495,wtf,1
496,highnote,1
497,loud,1
498,playing,1
499,@originalfunko,1
500,unfairness,1
501,name,1
502,improve,1
503,coddled,1
504,rip,1
505,youre,1
506,@rjmxrell:,1
507,produce,1
508,tone,1
509,by,1
510,joyful,1
511,acting,1
512,leave,1
513,years,1
514,unhappy,42
515,-,8
516,at,7
517,happy,5
518,well,5
519,has,5
520,going,4
521,counsel's,3
522,hes,3
523,obstructed,3
524,inve,3
525,split,3
526,were,3
527,cbs,3
528,things,3
529,peace,3
530,stop,3
531,confirmed,3
532,special,3
533,everything,3
534,@cbseveningnews:,3
535,president,3
536,whether,3
537,showing,3
538,justice,3
539,right,2
540,current,2
541,kan,2
542,@esyudkowsky,2
543,find,2
544,they're,2
545,trump,2
546,fortnite,2
547,siliguri,2
548,res,2
549,left,2
550,you're,2
551,inner,2
552,ppl,2
553,only,2
554,particularly,2
555,solution,2
556,groups,2
557,boat,2
558,does,2
559,medias,2
560,protagonist,2
561,already,2
562,agree,2
563,nothing,2
564,drive,2
565,abusive,2
566,across,2
567,look,2
568,visa,2
569,always,2
570,desperately,2
571,give,2
572,us,2
573,she,2
574,sight,2
575,short,2
576,before,2
577,depression,2
578,ill,2
579,yourself,2
580,changes,1
581,ex-captain,1
582,funny,1
583,probing,1
584,co/kdoihzoz24,1
585,),1
586,clearly,1
587,anyone,1
588,website,1
589,point,1
590,chips,1
591,rx,1
592,@neroscinema:,1
593,chose,1
594,american,1
595,use,1
596,twice,1
597,fuck,1
598,he's,1
599,let,1
600,got,1
601,mostly,1
602,@trillgabi,1
603,acceptable,1
604,@akmaciver,1
605,review,1
606,wisewords,1
607,parent,1
608,pick,1
609,affect,1
610,strikes,1
611,unhap,1
612,media,1
613,@nitishrana_27,1
614,would,1
615,mother,1
616,off-brand,1
617,needs,1
618,perhaps,1
619,willoughby,1
620,pharmacy,1
621,curse,1
622,@kayhanmomand:,1
623,hungry,1
624,scab,1
625,=because,1
626,saw,1
627,@urvashirautela:,1
628,first,1
629,@shaunking,1
630,base,1
631,problems,1
632,@crampell:,1
633,carried,1
634,herself,1
635,did,1
636,@masgharafghan,1
637,effective,1
638,intellectual,1
639,peop,1
640,signaling/hedonism,1
641,country,1
642,bombing,1
643,reached,1
644,appalled,1
645,petite,1
646,social,1
647,score,1
648,regardless,1
649,around,1
650,excuses,1
651,alisson,1
652,breaking,1
653,driver,1
654,grudges,1
655,giving,1
656,pay,1
657,trying,1
658,denies,1
659,ch,1
660,most,1
661,town,1
662,screen,1
663,almost,1
664,biased,1
665,expressing,1
666,2:4,1
667,20:46,1
668,munster,1
669,unless,1
670,difficult,1
671,struggle,1
672,leaving,1
673,sometimes,1
674,labor,1
675,war,1
676,them,1
677,tell,1
678,month,1
679,trolls,1
680,2014,1
681,boys,1
682,won,1
683,pm,1
684,border,1
685,39:53,1
686,uk,1
687,down,1
688,stressed,1
689,15,1
690,motivation,1
691,@skynews,1
692,},1
693,@shadbase,1
694,aspects,1
695,absence,1
696,classics,1
697,expected,1
698,each,1
699,bc,1
700,troubled,1
701,{opens,1
702,ohhhhh,1
703,shouldn't,1
704,sure,1
705,issues,1
706,-and,1
707,climate,1
708,psychiatrie,1
709,companies,1
710,judging,1
711,reportedly,1
712,tho,1
713,@brendan_92,1
714,kill,1
715,place,1
716,solve,1
717,shouted,1
718,governors,1
719,reading,1
720,older,1
721,fixing,1
722,cancer,1
723,week,1
724,verse,1
725,professionals,1
726,mom,1
727,external,1
728,modi's,1
729,corporate,1
730,disappointed,1
731,gandalf,1
732,@hosumkj:,1
733,location,1
734,rally,1
735,forget,1
736,sweep,1
737,asked,1
738,feet,1
739,forwards,1
740,pakistan,1
741,@lauramjthomson,1
742,starts,1
743,often,1
744,family,1
745,sommer,1
746,moved,1
747,forever,1
748,holding,1
749,@kkriders,1
750,artists,1
751,cute,1
752,co/m2sy5dy93b,1
753,sussex,1
754,@imquotes_videos:,1
755,key:,1
756,sick,1
757,psychology,1
758,anxious,1
759,crimes,1
760,anti-depressants,1
761,currently,1
762,merely,1
763,new,1
764,rural,1
765,x,1
766,@1loganhenderson:,1
767,respawning,1
768,4,1
769,gammons,1
770,1-1,1
771,message,1
772,celebrated,1
773,starting,1
774,head,1
775,@enjy_esmail18:,1
776,eco-terrorists,1
777,competent,1
778,anonymous,1
779,@_kateelaa:,1
780,co/60i9fyrelr,1
781,@selimseesyou:,1
782,sheets,1
783,moment,1
784,smiling,1
785,creating,1
786,worried,1
787,books,1
788,somewhat,1
789,yeah,1
790,cliques,1
791,immature,1
792,ground,1
793,folks,1
794,co/l4l6jz0zcu,1
795,3:31,1
796,change,1
797,co/axsap8dwuv,1
798,bringing,1
799,joined,1
800,deep,1
801,@barryheaven,1
802,wth,1
803,shed,1
804,cause,1
805,wrongs,1
806,families,1
807,facebook,1
808,3:159,1
809,imported,1
810,203-590-3737,1
811,determined,1
812,@dienamiteredder,1
813,bilbo's,1
814,lose,1
815,afghanistan,1
816,angry,1
817,discriminated,1
818,manager,1
819,scot,1
820,those,1
821,idea,1
822,sacking,1
823,cancel,1
824,minute,1
825,racism,1
826,voter,1
827,learning,1
828,hyung,1
829,own,1
830,however,1
831,sout,1
832,struggling,1
833,shes,1
834,media/culture,1
835,uber,1
836,ward,1
837,@thehill,1
838,studio,1
839,anymore,1
840,@lukeoneil47,1
841,start,1
842,glad,1
843,@madddeline_____,1
844,played,1
845,flooded,1
846,respe,1
847,morning,1
848,front,1
849,lol,1
850,imagine,1
851,@iamsrk:,1
852,married,1
853,style,1
854,sinned,1
855,fewer,1
856,therapy,1
857,events,1
858,set,1
859,should,1
860,sense,1
861,conservatism,1
862,@sootradhar:,1
863,lonely,1
864,4:28,1
865,icc,1
866,door,1
867,managers,1
868,least,1
869,boy,1
870,true,1
871,supply,1
872,@bjp4india:,1
873,medical,1
874,@theprickledk,1
875,bilbo,1
876,personally,1
877,drove,1
878,telling,1
879,end,1
880,views,1
881,upset,1
882,africa,1
883,eased,1
884,bad,1
885,grow,1
886,chief,1
887,shit,1
888,cheat,1
889,weight,1
890,through,1
891,wary,1
892,=,1
893,fed,1
894,@hvbibvh:,1
895,republicans,1
896,beyond,1
897,1/2/tps,1
898,somebody,1
899,@kimstrassel:,1
900,genuinely,1
901,prosecutor,1
902,bengali,1
903,@robbieuthappa,1
904,noises,1
905,two,1
906,suite,1
907,grouo,1
908,chemotherapy,1
909,fan,1
910,feedback,1
911,last,1
912,shut,1
913,littlest,1
914,sympathized,1
915,tranquili,1
916,book,1
917,traffic,1
918,@pinkyblueskys,1
919,uncomfortable,1
920,attention,1
921,nihilism/fake,1
922,slarpg,1
923,wouldnt,1
924,feeling:,1
925,away,1
926,|,1
927,quran,1
928,reports,1
929,perfect,1
930,@__xhoseok,1
931,instinctual,1
932,mouth,1
933,eat,1
934,shocked,1
935,arent,1
936,@itsalwayswednes,1
937,arts,1
938,modernity,1
939,forgive,1
940,line,1
941,off-putting,1
942,case,1
943,lefty,1
944,females,1
945,cries,1
946,reverse,1
947,mueller's,1
948,@lynny50,1
949,live,1
950,captivate,1
951,types,1
952,instead,1
953,clean,1
954,field,1
955,@caliscrip:,1
956,furthermore,1
957,half,1
958,sleepy,1
959,whats,1
960,alleging,1
961,buy,1
962,lead,1
963,@samwootton02,1
964,alike,1
965,community,1
966,act,1
967,reasonable,1
968,trumbullct,1
969,meritocracy,1
970,elle,1
971,treated,1
972,-why,1
973,referendum,1
974,modern,1
975,nope,1
976,answer,1
977,competing,1
978,spending,1
979,air,1
980,adding,1
981,keeping,1
982,never,1
983,longer,1
984,helped,1
985,entire,1
986,birthday,14
987,jungkook,8
988,girls,6
989,phrase,4
990,omg,3
991,dissing,3
992,difference,3
993,truly,3
994,disgusting,3
995,@mmooregough_7:,3
996,',3
997,co/9vrd1dw,3
998,bo,3
999,cat,3
1000,@chavisthill:,3
1001,body,3
1002,pardon,3
1003,extremely,3
1004,eyes,3
1005,actor,3
1006,doing,3
1007,@zak_bagans,2
1008,tryouts,2
1009,few,2
1010,cherry,2
1011,surgery,2
1012,brother,2
1013,art,2
1014,ask,2
1015,hilarious,2
1016,sheer,1
1017,cities,1
1018,fantastical,1
1019,internationalcarrotday,1
1020,foodies,1
1021,spinal,1
