,word,frequency
1643,restaurant,1
1644,''fun,1
1645,sister,1
1646,amazing,1
1647,recycling,1
1648,meant,1
1649,@kfield82,1
1650,xd,1
1651,floor,1
1652,fix,1
1653,developers,1
1654,zealand's,1
1655,literature,1
1656,@olimonarrez:,1
1657,co/ufdyhcpb0u,1
1658,2nd,1
1659,@lukewestaway:,1
1660,stick,1
1661,editing,1
1662,co/upe8hpkynm,1
1663,quiet,1
1664,buildup,1
1665,cara,1
1666,burnt,1
1667,mortals,1
1668,achieve,1
1669,niece,1
1670,contact,1
1671,90,1
1672,addicting,1
1673,@joebiden,1
1674,04,1
1675,encore,1
1676,gamer,1
1677,college,1
1678,magical,1
1679,co/zvfkbkau6n,1
1680,co/78rnxce85g,1
1681,seams,1
1682,discoverctwc,1
1683,weekend,1
